City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Adrar,MR,2022-06-15 22:11:55,20.5022,-10.0711,95.41,16,18,7.94
175,Mar Del Plata,AR,2022-06-15 22:07:31,-38.0023,-57.5575,52.09,91,78,0.0
176,Alice Springs,AU,2022-06-15 22:12:14,-23.7,133.8833,40.55,87,15,5.75
177,Kodiak,US,2022-06-15 22:12:15,57.79,-152.4072,56.71,72,0,12.66
178,Teknaf,BD,2022-06-15 22:12:16,20.8624,92.3058,79.23,89,100,8.21
179,Temir,KZ,2022-06-15 22:12:16,49.1414,57.13,65.71,50,15,8.32
180,Port Hardy,CA,2022-06-15 22:12:17,50.6996,-127.4199,54.68,76,100,6.42
181,Weligama,LK,2022-06-15 22:12:17,5.9667,80.4167,78.1,85,100,12.37
182,Iskateley,RU,2022-06-15 22:13:18,67.6803,53.1512,43.97,81,50,7.72
183,Saskylakh,RU,2022-06-15 22:13:19,71.9167,114.0833,45.16,48,25,6.38
184,Mahebourg,MU,2022-06-15 22:13:20,-20.4081,57.7,74.25,78,75,17.27
185,Mixco,GT,2022-06-15 22:08:28,14.6333,-90.6064,68.79,56,75,18.41
186,Harper,LR,2022-06-15 22:13:20,4.375,-7.7169,75.04,95,100,9.15
187,Hamilton,US,2022-06-15 22:13:21,39.1834,-84.5333,94.41,56,0,12.66
188,Tamandare,BR,2022-06-15 22:13:21,-8.7597,-35.1047,75.27,87,6,9.73
189,Dingtao,CN,2022-06-15 22:13:21,35.0683,115.5625,76.21,59,4,6.26
190,Hofn,IS,2022-06-15 22:13:22,64.2539,-15.2082,49.86,77,29,14.67
191,Lodwar,KE,2022-06-15 22:13:23,3.1191,35.5973,84.81,40,16,12.5
192,Nikolskoye,RU,2022-06-15 22:13:24,59.7035,30.7861,57.79,92,91,9.42
193,Kieta,PG,2022-06-15 22:13:24,-6.2167,155.6333,81.03,81,97,4.41
194,Bay Roberts,CA,2022-06-15 22:10:09,47.5999,-53.2648,53.51,74,99,1.99
195,Maragogi,BR,2022-06-15 22:13:25,-9.0122,-35.2225,75.67,87,42,15.19
196,Praia,CV,2022-06-15 22:13:25,14.9215,-23.5087,75.74,83,40,8.05
197,Namibe,AO,2022-06-15 22:13:26,-15.1961,12.1522,64.08,83,9,0.63
198,Kuusamo,FI,2022-06-15 22:13:26,65.9667,29.1833,50.04,93,100,11.5
199,Kahului,US,2022-06-15 22:13:27,20.8947,-156.47,85.96,69,40,21.85
200,Bahir Dar,ET,2022-06-15 22:13:28,11.5936,37.3908,66.87,77,69,4.05
201,Kaz,RU,2022-06-15 22:13:28,52.9113,87.3105,57.09,99,100,6.8
202,Barasti,RO,2022-06-15 22:13:29,44.6167,24.6833,61.75,69,20,0.96
203,Nouadhibou,MR,2022-06-15 22:13:29,20.931,-17.0347,66.27,84,1,23.67
204,Broken Hill,AU,2022-06-15 22:13:30,-31.95,141.4333,49.14,87,6,8.59
205,Korla,CN,2022-06-15 22:13:31,41.7597,86.1469,81.52,19,69,11.12
206,College,US,2022-06-15 22:13:31,64.8569,-147.8028,73.0,50,75,8.05
207,Mocuba,MZ,2022-06-15 22:13:32,-16.8392,36.9856,65.19,81,0,3.4
208,Colinas,BR,2022-06-15 22:13:32,-6.0258,-44.2492,74.35,76,93,1.54
209,Chapais,CA,2022-06-15 22:13:33,49.7834,-74.8492,76.06,44,99,10.22
210,Kibondo,TZ,2022-06-15 22:13:33,-3.5864,30.7203,62.37,65,6,3.13
211,Harlingen,US,2022-06-15 22:13:34,26.1906,-97.6961,93.16,40,0,20.71
212,Novopokrovka,UA,2022-06-15 22:13:35,49.8425,36.5477,58.64,69,96,5.64
213,Sioux Lookout,CA,2022-06-15 22:08:52,50.1001,-91.917,60.53,94,99,8.5
214,Brasileia,BR,2022-06-15 22:13:36,-11.0161,-68.7481,76.87,64,3,0.85
215,Batemans Bay,AU,2022-06-15 22:13:36,-35.7167,150.1833,50.09,79,81,6.13
216,Jiblah,YE,2022-06-15 22:13:37,13.9216,44.1467,71.1,45,78,2.66
217,Touros,BR,2022-06-15 22:09:32,-5.1989,-35.4608,75.72,77,14,9.69
218,Pucara,PE,2022-06-15 22:13:37,-15.9803,-71.4606,38.57,21,0,8.57
219,Bara,NG,2022-06-15 22:13:38,10.3744,10.7288,76.48,76,77,5.86
220,Aklavik,CA,2022-06-15 22:11:56,68.2191,-135.0107,62.56,35,2,6.78
221,Mansa,IN,2022-06-15 22:13:39,29.9833,75.3833,93.42,32,65,15.52
222,Sola,VU,2022-06-15 22:13:40,-13.8833,167.55,81.23,74,98,19.84
223,San Patricio,US,2022-06-15 22:13:41,28.017,-97.5169,94.15,46,72,20.33
224,Camacupa,AO,2022-06-15 22:13:41,-12.0167,17.4833,56.64,37,10,2.13
225,Deep River,CA,2022-06-15 22:13:41,46.1001,-77.4995,73.94,66,79,11.48
226,Am Timan,TD,2022-06-15 22:13:42,11.0297,20.2827,85.98,42,100,7.65
227,Waddan,LY,2022-06-15 22:13:43,29.1614,16.139,76.89,46,0,16.06
228,Dawson Creek,CA,2022-06-15 22:14:43,55.7666,-120.2362,67.1,52,100,3.71
229,Grude,BA,2022-06-15 22:14:44,43.3642,17.4206,65.12,53,2,4.45
230,Sofiyivka,UA,2022-06-15 22:14:45,48.0493,33.8746,61.83,57,89,6.06
231,Laela,TZ,2022-06-15 22:14:45,-8.5667,32.05,59.47,62,5,3.6
232,Fairbanks,US,2022-06-15 22:14:45,64.8378,-147.7164,73.02,50,75,8.05
233,Beringovskiy,RU,2022-06-15 22:14:46,63.05,179.3167,42.75,87,100,15.64
234,Nanortalik,GL,2022-06-15 22:14:47,60.1432,-45.2371,40.44,79,35,9.75
235,Panormos,GR,2022-06-15 22:14:47,35.4182,24.6909,74.66,77,0,5.79
236,Morondava,MG,2022-06-15 22:14:48,-20.2833,44.2833,68.99,86,0,4.45
237,Mehamn,NO,2022-06-15 22:12:03,71.0357,27.8492,40.95,93,75,11.5
238,Port Lincoln,AU,2022-06-15 22:14:48,-34.7333,135.8667,55.04,82,64,6.6
239,Okha,RU,2022-06-15 22:14:49,53.5739,142.9478,50.16,86,100,3.6
240,Ngunguru,NZ,2022-06-15 22:14:49,-35.6167,174.5,57.74,67,33,7.49
241,Caravelas,BR,2022-06-15 22:14:50,-17.7125,-39.2481,71.15,66,72,7.63
242,Simao,CN,2022-06-15 22:14:50,22.7886,100.9748,64.27,99,100,1.66
243,Manggar,ID,2022-06-15 22:14:51,-2.8833,108.2667,78.94,83,73,2.91
244,Katsuura,JP,2022-06-15 22:14:51,35.1333,140.3,64.42,90,100,2.35
245,Ocos,GT,2022-06-15 22:14:52,14.5094,-92.1933,84.38,80,100,6.64
246,Riyadh,SA,2022-06-15 22:10:02,24.6877,46.7219,87.94,16,0,5.64
247,Saint George,US,2022-06-15 22:11:56,37.1041,-113.5841,99.63,6,0,5.01
248,Tandalti,SD,2022-06-15 22:14:53,13.0167,31.8667,89.2,46,100,13.85
249,Tiksi,RU,2022-06-15 22:14:54,71.6872,128.8694,36.09,78,53,12.95
250,Mayang Imphal,IN,2022-06-15 22:14:54,24.6167,93.8833,68.7,98,100,0.96
251,Port-Cartier,CA,2022-06-15 22:14:55,50.0334,-66.8654,73.08,54,13,11.27
252,Ardakan,IR,2022-06-15 22:14:55,32.31,54.0175,87.01,10,0,8.57
253,Udomlya,RU,2022-06-15 22:14:56,57.8794,34.9925,51.93,95,100,9.91
254,Sao Felix Do Xingu,BR,2022-06-15 22:14:56,-6.6447,-51.995,78.06,65,80,2.51
255,Olafsvik,IS,2022-06-15 22:14:57,64.8945,-23.7142,48.69,72,40,15.12
256,Llangefni,GB,2022-06-15 22:14:57,53.2556,-4.3106,55.26,79,10,6.91
257,Tungor,RU,2022-06-15 22:12:16,53.3808,142.9564,54.57,79,93,5.79
258,Lac Du Bonnet,CA,2022-06-15 22:14:58,50.2536,-96.0612,73.2,47,26,15.46
259,Kibala,TD,2022-06-15 22:14:59,9.1104,18.3463,82.71,51,99,4.5
260,Lagoa,PT,2022-06-15 22:15:00,39.05,-27.9833,63.3,85,32,10.74
261,Bathsheba,BB,2022-06-15 22:15:00,13.2167,-59.5167,83.01,83,40,21.85
262,Walvis Bay,NA,2022-06-15 22:15:00,-22.9575,14.5053,56.08,58,0,6.91
263,Mogadishu,SO,2022-06-15 22:15:01,2.0371,45.3438,78.35,84,94,17.09
264,Cabo San Lucas,MX,2022-06-15 22:13:47,22.8909,-109.9124,96.62,35,0,9.22
265,Pakxe,LA,2022-06-15 22:15:01,15.1167,105.7833,75.52,94,99,3.33
266,Shimoda,JP,2022-06-15 22:15:02,34.6667,138.95,65.1,90,100,8.55
267,Taoudenni,ML,2022-06-15 22:15:03,22.6783,-3.9836,96.94,8,0,1.07
268,Skelleftea,SE,2022-06-15 22:15:04,64.7507,20.9528,55.0,56,100,6.91
269,Te Anau,NZ,2022-06-15 22:15:04,-45.4167,167.7167,46.31,89,96,5.61
270,Khandyga,RU,2022-06-15 22:15:05,62.6667,135.6,57.79,87,61,2.48
271,Yetkul,RU,2022-06-15 22:15:05,54.8221,61.588,57.56,83,43,7.23
272,Wainwright,CA,2022-06-15 22:15:05,52.839,-110.8572,54.05,88,100,23.44
273,Beloha,MG,2022-06-15 22:16:06,-25.1667,45.05,66.99,68,53,6.58
274,Bengkulu,ID,2022-06-15 22:16:06,-3.8004,102.2655,74.75,89,100,3.89
275,Kirakira,SB,2022-06-15 22:16:07,-10.4544,161.9205,82.0,79,72,9.26
276,Mackay,AU,2022-06-15 22:16:08,-21.15,149.2,66.69,83,50,9.91
277,Salto,UY,2022-06-15 22:16:08,-31.3833,-57.9667,61.88,79,99,3.06
278,Meulaboh,ID,2022-06-15 22:16:09,4.1363,96.1285,75.7,83,100,2.55
279,Havre-Saint-Pierre,CA,2022-06-15 22:16:09,50.2334,-63.5986,66.56,55,0,13.8
280,Andapa,MG,2022-06-15 22:16:10,-14.65,49.65,65.28,99,91,0.6
281,Geraldton,AU,2022-06-15 22:16:10,-28.7667,114.6,59.41,94,75,6.91
282,Brejo Da Madre De Deus,BR,2022-06-15 22:16:11,-8.1458,-36.3711,66.54,97,64,6.78
283,Artyom,AZ,2022-06-15 22:16:11,40.4723,50.333,75.34,64,100,12.24
284,Saquisili,EC,2022-06-15 22:16:12,-0.8333,-78.6667,59.52,59,40,14.97
285,Phatthalung,TH,2022-06-15 22:16:13,7.5,100.0833,76.28,89,97,2.48
286,Havre,FR,2022-06-15 22:16:14,49.5833,0.3333,63.19,59,43,3.44
287,Flinders,AU,2022-06-15 22:12:28,-34.5833,150.8552,59.38,70,63,1.01
288,Clyde River,CA,2022-06-15 22:16:16,70.4692,-68.5914,34.03,100,100,24.16
289,Henties Bay,NA,2022-06-15 22:16:16,-22.116,14.2845,57.25,72,0,4.65
290,Verkhnyaya Inta,RU,2022-06-15 22:16:17,65.9811,60.3094,51.66,77,83,6.4
291,Rudbar,AF,2022-06-15 22:16:17,30.15,62.6,94.68,13,4,5.17
292,Ixtapa,MX,2022-06-15 22:16:17,20.7,-105.2,85.23,70,75,14.97
293,Dali,CN,2022-06-15 22:16:18,25.7,100.1833,60.42,96,100,2.82
294,New Norfolk,AU,2022-06-15 22:16:18,-42.7826,147.0587,42.3,90,97,1.36
