City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,Gouyave,GD,79.57,few clouds,12.1646,-61.7296,Rumboat Retreat
428,El Dorado,US,72.43,broken clouds,38.7666,-120.5177,South Fork Group Campground
430,Yumen,CN,84.15,broken clouds,40.2833,97.2,
435,Kawalu,ID,83.59,light rain,-7.3817,108.2082,West Jontor
436,Rapu-Rapu,PH,84.4,moderate rain,13.1866,124.1256,Seaview Dormitel
438,Clearwater,US,84.11,clear sky,27.9659,-82.8001,Residence Inn by Marriott Clearwater Downtown
439,Umm Kaddadah,SD,84.7,overcast clouds,13.6017,26.6876,
440,Mongo,TD,81.01,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
441,Minot,US,70.02,clear sky,48.2325,-101.2963,Noble Inn
442,Baykit,RU,74.43,light rain,61.67,96.37,
445,Meulaboh,ID,83.12,broken clouds,4.1363,96.1285,Kost Pria
452,Voh,NC,82.98,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
454,Moerai,PF,75.29,broken clouds,-22.4333,-151.3333,Le Manotel
455,Yerbogachen,RU,75.33,overcast clouds,61.2767,108.0108,
456,Port Hedland,AU,80.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
464,Tabuk,PH,87.15,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
469,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
470,Vostok,RU,75.16,broken clouds,46.4856,135.8833,
472,Meaford,CA,80.92,few clouds,44.6001,-80.583,Meaford Memorial Park
474,Buala,SB,83.84,light rain,-8.145,159.5921,Maringe Lagoon Lodge
476,Najran,SA,77.65,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
481,Bousso,TD,75.85,overcast clouds,10.4795,16.7117,
483,Toccoa,US,78.39,overcast clouds,34.5773,-83.3324,Quality Inn
484,Beaumont,US,80.64,clear sky,30.0861,-94.1019,Super 8 by Wyndham Beaumont
489,Santa Cruz,BO,71.06,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
