City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
158,Portland,US,45.5234,-122.6762,67.28,63,75,10.36,broken clouds
159,Manjacaze,MZ,-24.7117,33.8828,54.43,69,0,1.9,clear sky
160,Suez,EG,29.9737,32.5263,70.77,87,0,10.47,clear sky
161,La Ronge,CA,55.1001,-105.2842,57.45,77,75,11.5,broken clouds
162,Stanger,ZA,-29.3282,31.2895,49.71,69,11,5.64,few clouds
163,Biloela,AU,-24.4167,150.5,70.77,27,99,9.4,overcast clouds
164,Bredasdorp,ZA,-34.5322,20.0403,50.38,46,64,5.75,broken clouds
165,San Carlos De Bariloche,AR,-41.1456,-71.3082,40.75,38,40,21.85,scattered clouds
166,Pimentel,PE,-6.8367,-79.9342,62.06,84,7,15.41,clear sky
167,Sitka,US,57.0531,-135.33,68.58,50,49,5.46,scattered clouds
168,Katherine,AU,-14.4667,132.2667,82.72,21,23,12.66,few clouds
169,Fallon,US,39.4735,-118.7774,89.47,7,40,25.32,dust
170,Port Blair,IN,11.6667,92.75,84.24,79,40,9.22,scattered clouds
171,Lorengau,PG,-2.0226,147.2712,83.34,77,100,9.4,overcast clouds
172,Isangel,VU,-19.55,169.2667,80.89,80,94,13.69,overcast clouds
173,Nhulunbuy,AU,-12.2333,136.7667,84.81,58,20,19.57,few clouds
174,Thompson,CA,55.7435,-97.8558,46.56,66,20,11.5,few clouds
175,Wakefield,GB,53.6809,-1.499,67.24,57,100,5.14,overcast clouds
176,Ixtapa,MX,20.7,-105.2,78.22,100,100,1.01,overcast clouds
177,Rantauprapat,ID,2.1,99.8333,85.89,64,93,1.79,overcast clouds
178,Guerrero Negro,MX,27.9769,-114.0611,64.33,83,0,17.16,clear sky
179,Riyadh,SA,24.6877,46.7219,84.34,18,14,5.19,few clouds
180,Safaga,EG,26.7292,33.9365,80.4,54,0,14.92,clear sky
181,Iskateley,RU,67.6803,53.1512,57.49,77,100,14.16,overcast clouds
